policy_id,title,sector,region,year,impact_score,goals
P1066,District Vocational Education Reform 20,Secondary,Tamil Nadu,2024,0.702,Increase infrastructure score by 39% within 2 years and reduce disparities between rural and urban areas.
P1067,State Vocational Education Reform 99,Higher Education,West Bengal,2023,0.223,Increase teacher quality score by 38% within 1 years and reduce disparities between rural and urban areas.
P1068,District Secondary Education Reform 56,Primary,Uttar Pradesh,2022,0.433,Increase digital access score by 11% within 3 years and reduce disparities between rural and urban areas.
P1069,District Secondary Education Reform 98,Vocational,Gujarat,2024,0.588,Increase vocational skills score by 20% within 3 years and reduce disparities between rural and urban areas.
P1070,State Primary Education Reform 15,Vocational,Punjab,2023,0.647,"Train 751 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1071,State Higher Education Education Reform 96,Primary,Kerala,2016,0.219,"Train 3856 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1072,National Primary Education Reform 26,Primary,Kerala,2019,0.355,"Train 1069 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1073,District Vocational Education Reform 48,Early Childhood,Delhi,2016,0.585,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1074,State Primary Education Reform 94,Higher Education,Punjab,2021,0.423,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1075,State Early Childhood Education Reform 5,Early Childhood,Tamil Nadu,2025,0.611,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1076,National Higher Education Education Reform 34,Vocational,Uttar Pradesh,2024,0.502,Increase vocational skills score by 40% within 5 years and reduce disparities between rural and urban areas.
P1077,District Secondary Education Reform 16,Secondary,Tamil Nadu,2018,0.428,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1078,State Primary Education Reform 58,Vocational,Rajasthan,2020,0.84,"Train 1376 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1079,State Secondary Education Reform 81,Higher Education,Punjab,2023,0.741,Increase early childhood development score by 7% within 5 years and reduce disparities between rural and urban areas.
P1080,District Primary Education Reform 64,Early Childhood,Delhi,2025,0.365,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1081,District Higher Education Education Reform 94,Higher Education,West Bengal,2017,0.209,Increase digital access score by 29% within 5 years and reduce disparities between rural and urban areas.
P1082,District Higher Education Education Reform 25,Secondary,Gujarat,2023,0.941,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1083,District Primary Education Reform 14,Vocational,Tamil Nadu,2019,0.146,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1084,National Primary Education Reform 51,Higher Education,Kerala,2023,0.545,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1085,State Early Childhood Education Reform 95,Higher Education,Punjab,2020,0.428,Increase vocational skills score by 21% within 5 years and reduce disparities between rural and urban areas.
P1086,National Early Childhood Education Reform 81,Early Childhood,West Bengal,2017,0.27,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1087,District Secondary Education Reform 72,Higher Education,Gujarat,2023,0.405,"Train 4016 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1088,District Vocational Education Reform 41,Vocational,Kerala,2023,0.438,"Train 394 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1089,National Early Childhood Education Reform 35,Early Childhood,Delhi,2017,0.301,Increase infrastructure score by 11% within 2 years and reduce disparities between rural and urban areas.
P1090,State Secondary Education Reform 97,Higher Education,Kerala,2019,0.576,"Train 1490 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1091,State Early Childhood Education Reform 78,Primary,Kerala,2019,0.343,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1092,District Vocational Education Reform 55,Early Childhood,Kerala,2016,0.388,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1093,State Higher Education Education Reform 89,Secondary,Karnataka,2025,0.922,Increase vocational skills score by 19% within 2 years and reduce disparities between rural and urban areas.
P1094,State Vocational Education Reform 90,Early Childhood,Gujarat,2023,0.877,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1095,State Early Childhood Education Reform 57,Primary,Uttar Pradesh,2024,0.217,Increase digital access score by 24% within 1 years and reduce disparities between rural and urban areas.
P1096,National Primary Education Reform 55,Higher Education,Maharashtra,2023,0.26,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1097,District Higher Education Education Reform 16,Secondary,Rajasthan,2021,0.971,Increase digital access score by 19% within 2 years and reduce disparities between rural and urban areas.
P1098,District Primary Education Reform 5,Vocational,Punjab,2015,0.497,Increase vocational skills score by 33% within 2 years and reduce disparities between rural and urban areas.
P1099,National Early Childhood Education Reform 41,Early Childhood,Punjab,2025,0.977,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1100,State Primary Education Reform 45,Vocational,Rajasthan,2020,0.264,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1101,State Secondary Education Reform 33,Secondary,Kerala,2025,0.146,"Train 646 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1102,National Secondary Education Reform 95,Primary,Gujarat,2018,0.386,Increase teacher quality score by 28% within 5 years and reduce disparities between rural and urban areas.
P1103,National Higher Education Education Reform 41,Vocational,Karnataka,2024,0.932,Increase early childhood development score by 26% within 2 years and reduce disparities between rural and urban areas.
P1104,District Higher Education Education Reform 33,Vocational,Gujarat,2022,0.535,Increase early childhood development score by 5% within 4 years and reduce disparities between rural and urban areas.
P1105,National Secondary Education Reform 65,Vocational,Kerala,2015,0.591,Increase learning outcomes score by 6% within 5 years and reduce disparities between rural and urban areas.
P1106,National Secondary Education Reform 25,Early Childhood,Rajasthan,2019,0.432,"Train 1900 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1107,State Primary Education Reform 82,Primary,Tamil Nadu,2016,0.896,"Train 2270 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1108,District Secondary Education Reform 97,Vocational,Maharashtra,2019,0.395,Increase vocational skills score by 8% within 1 years and reduce disparities between rural and urban areas.
P1109,District Early Childhood Education Reform 51,Higher Education,Karnataka,2025,0.938,Increase digital access score by 20% within 1 years and reduce disparities between rural and urban areas.
P1110,District Vocational Education Reform 41,Higher Education,Maharashtra,2016,0.191,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1111,District Higher Education Education Reform 50,Primary,Delhi,2021,0.71,"Train 2248 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1112,State Primary Education Reform 47,Higher Education,Uttar Pradesh,2025,0.106,"Train 2749 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1113,State Higher Education Education Reform 23,Vocational,Kerala,2019,0.827,Increase digital access score by 40% within 1 years and reduce disparities between rural and urban areas.
P1114,District Primary Education Reform 53,Vocational,Tamil Nadu,2025,0.802,Increase learning outcomes score by 39% within 5 years and reduce disparities between rural and urban areas.
P1115,District Primary Education Reform 14,Secondary,Kerala,2017,0.959,"Train 2169 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1116,District Early Childhood Education Reform 89,Early Childhood,Tamil Nadu,2020,0.203,"Train 2860 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1117,District Vocational Education Reform 41,Primary,Delhi,2015,0.703,Increase infrastructure score by 26% within 5 years and reduce disparities between rural and urban areas.
P1118,National Vocational Education Reform 51,Primary,Punjab,2018,0.283,Increase vocational skills score by 28% within 3 years and reduce disparities between rural and urban areas.
P1119,District Higher Education Education Reform 77,Vocational,Punjab,2021,0.649,Increase vocational skills score by 12% within 2 years and reduce disparities between rural and urban areas.
P1120,District Vocational Education Reform 54,Early Childhood,Tamil Nadu,2024,0.717,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1121,National Vocational Education Reform 18,Secondary,West Bengal,2023,0.732,Increase digital access score by 19% within 3 years and reduce disparities between rural and urban areas.
P1122,National Vocational Education Reform 73,Vocational,Rajasthan,2023,0.582,"Train 3532 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1123,State Primary Education Reform 31,Secondary,Punjab,2020,0.824,"Train 4939 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1124,National Vocational Education Reform 8,Higher Education,Tamil Nadu,2017,0.536,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1125,State Vocational Education Reform 42,Early Childhood,Karnataka,2016,0.454,"Train 2694 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1126,National Primary Education Reform 81,Vocational,Karnataka,2016,0.28,"Train 1352 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1127,State Higher Education Education Reform 93,Secondary,West Bengal,2025,0.218,Increase infrastructure score by 26% within 1 years and reduce disparities between rural and urban areas.
P1128,National Vocational Education Reform 12,Primary,Maharashtra,2020,0.671,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1129,National Primary Education Reform 18,Primary,Punjab,2021,0.347,"Train 269 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1130,National Vocational Education Reform 50,Primary,Uttar Pradesh,2022,0.217,"Train 3908 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1131,National Vocational Education Reform 65,Higher Education,Rajasthan,2021,0.648,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1132,District Vocational Education Reform 94,Secondary,Karnataka,2018,0.149,"Train 1028 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1133,District Higher Education Education Reform 22,Higher Education,Tamil Nadu,2019,0.342,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1134,National Higher Education Education Reform 99,Primary,Punjab,2025,0.139,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1135,State Secondary Education Reform 54,Higher Education,Delhi,2016,0.26,"Train 3860 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1136,National Higher Education Education Reform 73,Higher Education,Punjab,2018,0.752,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1137,National Vocational Education Reform 95,Higher Education,Maharashtra,2018,0.966,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1138,National Early Childhood Education Reform 18,Vocational,Maharashtra,2024,0.311,Increase teacher quality score by 22% within 2 years and reduce disparities between rural and urban areas.
P1139,National Primary Education Reform 22,Vocational,Gujarat,2020,0.502,Increase digital access score by 7% within 2 years and reduce disparities between rural and urban areas.
P1140,State Early Childhood Education Reform 7,Higher Education,Delhi,2017,0.322,"Train 147 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1141,District Higher Education Education Reform 10,Primary,Maharashtra,2018,0.209,"Train 3285 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1142,State Higher Education Education Reform 58,Secondary,Karnataka,2024,0.526,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1143,District Vocational Education Reform 45,Early Childhood,Rajasthan,2020,0.295,Increase teacher quality score by 15% within 1 years and reduce disparities between rural and urban areas.
P1144,District Primary Education Reform 98,Secondary,Punjab,2021,0.818,"Train 2930 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1145,National Secondary Education Reform 78,Secondary,Karnataka,2023,0.818,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1146,State Vocational Education Reform 76,Primary,Kerala,2019,0.805,"Train 4653 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1147,National Primary Education Reform 90,Early Childhood,West Bengal,2024,0.297,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1148,State Primary Education Reform 34,Secondary,Uttar Pradesh,2016,0.443,"Train 4089 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1149,National Vocational Education Reform 10,Primary,Delhi,2015,0.89,"Train 2818 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1150,National Higher Education Education Reform 27,Secondary,West Bengal,2023,0.144,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1151,National Primary Education Reform 4,Secondary,Tamil Nadu,2025,0.799,Increase digital access score by 16% within 3 years and reduce disparities between rural and urban areas.
P1152,State Vocational Education Reform 60,Higher Education,Uttar Pradesh,2019,0.176,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1153,National Vocational Education Reform 39,Primary,West Bengal,2015,0.254,Increase infrastructure score by 10% within 4 years and reduce disparities between rural and urban areas.
P1154,State Primary Education Reform 12,Vocational,Rajasthan,2021,0.8,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1155,District Higher Education Education Reform 53,Higher Education,West Bengal,2025,0.228,"Train 367 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1156,National Higher Education Education Reform 39,Higher Education,Delhi,2022,0.789,"Train 781 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1157,National Early Childhood Education Reform 21,Primary,Delhi,2023,0.845,"Train 3002 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1158,National Higher Education Education Reform 63,Early Childhood,Gujarat,2017,0.767,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1159,State Vocational Education Reform 66,Primary,Karnataka,2022,0.817,"Train 3521 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1160,District Vocational Education Reform 75,Primary,Karnataka,2023,0.529,Increase teacher quality score by 24% within 2 years and reduce disparities between rural and urban areas.
P1161,State Higher Education Education Reform 88,Secondary,Karnataka,2025,0.446,"Train 2861 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1162,National Higher Education Education Reform 13,Vocational,Tamil Nadu,2019,0.416,Increase vocational skills score by 23% within 4 years and reduce disparities between rural and urban areas.
P1163,District Primary Education Reform 61,Secondary,Rajasthan,2016,0.222,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1164,District Primary Education Reform 1,Vocational,Delhi,2018,0.215,Increase digital access score by 29% within 1 years and reduce disparities between rural and urban areas.
P1165,State Early Childhood Education Reform 25,Primary,Karnataka,2025,0.378,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1166,District Higher Education Education Reform 56,Secondary,Kerala,2022,0.117,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1167,District Primary Education Reform 77,Primary,Maharashtra,2025,0.495,Increase learning outcomes score by 5% within 3 years and reduce disparities between rural and urban areas.
P1168,District Early Childhood Education Reform 90,Secondary,West Bengal,2016,0.543,"Train 2982 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1169,State Secondary Education Reform 1,Primary,Maharashtra,2016,0.167,Increase vocational skills score by 21% within 4 years and reduce disparities between rural and urban areas.
P1170,State Higher Education Education Reform 55,Primary,Maharashtra,2015,0.95,"Train 2857 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1171,State Secondary Education Reform 15,Secondary,Karnataka,2017,0.261,Increase digital access score by 36% within 1 years and reduce disparities between rural and urban areas.
P1172,District Higher Education Education Reform 2,Early Childhood,Punjab,2024,0.529,Increase vocational skills score by 5% within 2 years and reduce disparities between rural and urban areas.
P1173,State Secondary Education Reform 43,Higher Education,Karnataka,2023,0.509,"Train 3712 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1174,District Early Childhood Education Reform 1,Primary,Punjab,2024,0.946,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1175,State Higher Education Education Reform 82,Higher Education,Rajasthan,2023,0.225,Increase vocational skills score by 17% within 2 years and reduce disparities between rural and urban areas.
P1176,District Higher Education Education Reform 14,Vocational,Karnataka,2025,0.951,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1177,National Vocational Education Reform 85,Early Childhood,Punjab,2020,0.344,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1178,National Secondary Education Reform 80,Higher Education,Kerala,2025,0.6,"Train 4423 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1179,District Primary Education Reform 26,Higher Education,Tamil Nadu,2019,0.282,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1180,State Vocational Education Reform 54,Higher Education,Rajasthan,2015,0.839,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1181,National Early Childhood Education Reform 16,Vocational,Karnataka,2021,0.105,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1182,National Higher Education Education Reform 68,Secondary,Tamil Nadu,2023,0.182,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1183,District Higher Education Education Reform 58,Secondary,Punjab,2024,0.443,Increase early childhood development score by 37% within 5 years and reduce disparities between rural and urban areas.
P1184,State Early Childhood Education Reform 11,Primary,Tamil Nadu,2023,0.87,Increase digital access score by 6% within 4 years and reduce disparities between rural and urban areas.
P1185,National Higher Education Education Reform 72,Primary,Punjab,2018,0.485,Increase learning outcomes score by 9% within 5 years and reduce disparities between rural and urban areas.
P1186,National Higher Education Education Reform 88,Higher Education,Punjab,2016,0.522,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1187,National Primary Education Reform 1,Early Childhood,Punjab,2021,0.288,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1188,District Vocational Education Reform 83,Early Childhood,Maharashtra,2019,0.534,"Train 869 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1189,District Higher Education Education Reform 89,Early Childhood,Tamil Nadu,2024,0.104,"Train 2316 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
