policy_id,title,sector,region,year,target_group,status,funding_million_usd,stakeholders,impact_score,summary,goals,full_text,text_for_nlp
P1010,National Vocational Education Reform 94,Higher Education,Maharashtra,2018,Teachers,Implemented,0.16,"State Education Department, Private Partners",0.348,A nationwide/state-level initiative to strengthen infrastructure through grants to schools. Targets Teachers and aims to improve retention.,"Train 464 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","A nationwide/state-level initiative to strengthen infrastructure through grants to schools. Targets Teachers and aims to improve retention. Goals: Train 464 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. Timeline set. Includes evaluation.","p1010 national vocational education reform 94 higher education maharashtra teachers implemented state education department, private partners a nationwide/state-level initiative to strengthen infrastructure through grants to schools. targets teachers and aims to improve retention. train 464 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. a nationwide/state-level initiative to strengthen infrastructure through grants to schools. targets teachers and aims to improve retention. goals: train 464 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. timeline set. includes evaluation."
P1195,National Secondary Education Reform 81,Early Childhood,Karnataka,2024,Teachers,Proposed,8.87,"State Education Department, Private Partners",0.56,A nationwide/state-level initiative to strengthen digital access through scholarship schemes. Targets Teachers and aims to boost employability.,Increase digital access score by 18% within 4 years and reduce disparities between rural and urban areas.,A nationwide/state-level initiative to strengthen digital access through scholarship schemes. Targets Teachers and aims to boost employability. Goals: Increase digital access score by 18% within 4 years and reduce disparities between rural and urban areas. Includes evaluation. Timeline set.,"p1195 national secondary education reform 81 early childhood karnataka teachers proposed state education department, private partners a nationwide/state-level initiative to strengthen digital access through scholarship schemes. targets teachers and aims to boost employability. increase digital access score by 18% within 4 years and reduce disparities between rural and urban areas. a nationwide/state-level initiative to strengthen digital access through scholarship schemes. targets teachers and aims to boost employability. goals: increase digital access score by 18% within 4 years and reduce disparities between rural and urban areas. includes evaluation. timeline set."
P1407,National Vocational Education Reform 90,Primary,West Bengal,2023,All,Pilot,2.84,"EdTech Companies, Universities",0.58,A nationwide/state-level initiative to strengthen vocational skills through grants to schools. Targets All and aims to boost employability.,Increase vocational skills score by 5% within 5 years and reduce disparities between rural and urban areas.,A nationwide/state-level initiative to strengthen vocational skills through grants to schools. Targets All and aims to boost employability. Goals: Increase vocational skills score by 5% within 5 years and reduce disparities between rural and urban areas. Focus on equity. Includes evaluation.,"p1407 national vocational education reform 90 primary west bengal all pilot edtech companies, universities a nationwide/state-level initiative to strengthen vocational skills through grants to schools. targets all and aims to boost employability. increase vocational skills score by 5% within 5 years and reduce disparities between rural and urban areas. a nationwide/state-level initiative to strengthen vocational skills through grants to schools. targets all and aims to boost employability. goals: increase vocational skills score by 5% within 5 years and reduce disparities between rural and urban areas. focus on equity. includes evaluation."
P1085,State Early Childhood Education Reform 95,Higher Education,Punjab,2020,Women,Pilot,57.99,"Ministry of Education, Local NGOs",0.428,"Policy to enhance vocational skills and assessment quality using grants to schools. Includes capacity-building, monitoring and community engagement.",Increase vocational skills score by 21% within 5 years and reduce disparities between rural and urban areas.,"Policy to enhance vocational skills and assessment quality using grants to schools. Includes capacity-building, monitoring and community engagement. Goals: Increase vocational skills score by 21% within 5 years and reduce disparities between rural and urban areas. Stakeholder consultations planned. Timeline set.","p1085 state early childhood education reform 95 higher education punjab women pilot ministry of education, local ngos policy to enhance vocational skills and assessment quality using grants to schools. includes capacity-building, monitoring and community engagement. increase vocational skills score by 21% within 5 years and reduce disparities between rural and urban areas. policy to enhance vocational skills and assessment quality using grants to schools. includes capacity-building, monitoring and community engagement. goals: increase vocational skills score by 21% within 5 years and reduce disparities between rural and urban areas. stakeholder consultations planned. timeline set."
P1372,State Early Childhood Education Reform 66,Early Childhood,Maharashtra,2019,Teachers,Proposed,0.82,"Ministry of Education, Local NGOs",0.586,"Policy to enhance teacher quality and assessment quality using teacher training programs. Includes capacity-building, monitoring and community engagement.","Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","Policy to enhance teacher quality and assessment quality using teacher training programs. Includes capacity-building, monitoring and community engagement. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Stakeholder consultations planned. Budget allocations defined.","p1372 state early childhood education reform 66 early childhood maharashtra teachers proposed ministry of education, local ngos policy to enhance teacher quality and assessment quality using teacher training programs. includes capacity-building, monitoring and community engagement. introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. policy to enhance teacher quality and assessment quality using teacher training programs. includes capacity-building, monitoring and community engagement. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. stakeholder consultations planned. budget allocations defined."
P1389,National Higher Education Education Reform 51,Vocational,Tamil Nadu,2022,Urban Students,Pilot,0.4,"Central Government, Donors",0.118,A nationwide/state-level initiative to strengthen digital access through curriculum reform. Targets Urban Students and aims to reduce dropout rates.,"Train 4925 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","A nationwide/state-level initiative to strengthen digital access through curriculum reform. Targets Urban Students and aims to reduce dropout rates. Goals: Train 4925 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. Budget allocations defined. Timeline set.","p1389 national higher education education reform 51 vocational tamil nadu urban students pilot central government, donors a nationwide/state-level initiative to strengthen digital access through curriculum reform. targets urban students and aims to reduce dropout rates. train 4925 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. a nationwide/state-level initiative to strengthen digital access through curriculum reform. targets urban students and aims to reduce dropout rates. goals: train 4925 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. budget allocations defined. timeline set."
P1496,District Higher Education Education Reform 84,Secondary,Rajasthan,2019,Rural Students,Proposed,2.06,"Central Government, Donors",0.728,"Policy to enhance early childhood development and community participation using curriculum reform. Includes capacity-building, monitoring and community engagement.","Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","Policy to enhance early childhood development and community participation using curriculum reform. Includes capacity-building, monitoring and community engagement. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Includes evaluation. Focus on equity.","p1496 district higher education education reform 84 secondary rajasthan rural students proposed central government, donors policy to enhance early childhood development and community participation using curriculum reform. includes capacity-building, monitoring and community engagement. introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. policy to enhance early childhood development and community participation using curriculum reform. includes capacity-building, monitoring and community engagement. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. includes evaluation. focus on equity."
P1031,State Early Childhood Education Reform 43,Higher Education,Gujarat,2019,Rural Students,Under Review,6.81,"State Education Department, Private Partners",0.381,This policy aims to improve vocational skills in Higher Education by providing scholarship schemes across Gujarat. It focuses on literacy and numeracy.,Increase vocational skills score by 35% within 3 years and reduce disparities between rural and urban areas.,This policy aims to improve vocational skills in Higher Education by providing scholarship schemes across Gujarat. It focuses on literacy and numeracy. Goals: Increase vocational skills score by 35% within 3 years and reduce disparities between rural and urban areas. Budget allocations defined. Includes evaluation.,"p1031 state early childhood education reform 43 higher education gujarat rural students under review state education department, private partners this policy aims to improve vocational skills in higher education by providing scholarship schemes across gujarat. it focuses on literacy and numeracy. increase vocational skills score by 35% within 3 years and reduce disparities between rural and urban areas. this policy aims to improve vocational skills in higher education by providing scholarship schemes across gujarat. it focuses on literacy and numeracy. goals: increase vocational skills score by 35% within 3 years and reduce disparities between rural and urban areas. budget allocations defined. includes evaluation."
P1317,State Early Childhood Education Reform 50,Higher Education,Kerala,2025,Students,Implemented,0.26,"Central Government, Donors",0.925,"Policy to enhance teacher quality and governance using digital device distribution. Includes capacity-building, monitoring and community engagement.","Train 2486 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","Policy to enhance teacher quality and governance using digital device distribution. Includes capacity-building, monitoring and community engagement. Goals: Train 2486 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. Focus on equity. Budget allocations defined.","p1317 state early childhood education reform 50 higher education kerala students implemented central government, donors policy to enhance teacher quality and governance using digital device distribution. includes capacity-building, monitoring and community engagement. train 2486 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. policy to enhance teacher quality and governance using digital device distribution. includes capacity-building, monitoring and community engagement. goals: train 2486 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. focus on equity. budget allocations defined."
P1409,District Vocational Education Reform 89,Higher Education,Rajasthan,2020,Women,Implemented,3.48,"Ministry of Education, Local NGOs",0.311,"Policy to enhance infrastructure and governance using teacher training programs. Includes capacity-building, monitoring and community engagement.","Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","Policy to enhance infrastructure and governance using teacher training programs. Includes capacity-building, monitoring and community engagement. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Timeline set. Focus on equity.","p1409 district vocational education reform 89 higher education rajasthan women implemented ministry of education, local ngos policy to enhance infrastructure and governance using teacher training programs. includes capacity-building, monitoring and community engagement. introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. policy to enhance infrastructure and governance using teacher training programs. includes capacity-building, monitoring and community engagement. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. timeline set. focus on equity."
P1491,State Higher Education Education Reform 9,Secondary,Delhi,2016,Women,Implemented,51.94,"Ministry of Education, Local NGOs",0.586,This policy aims to improve learning outcomes in Secondary by providing scholarship schemes across Delhi. It focuses on urban inclusion.,"Train 295 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","This policy aims to improve learning outcomes in Secondary by providing scholarship schemes across Delhi. It focuses on urban inclusion. Goals: Train 295 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. Focus on equity. Includes evaluation.","p1491 state higher education education reform 9 secondary delhi women implemented ministry of education, local ngos this policy aims to improve learning outcomes in secondary by providing scholarship schemes across delhi. it focuses on urban inclusion. train 295 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. this policy aims to improve learning outcomes in secondary by providing scholarship schemes across delhi. it focuses on urban inclusion. goals: train 295 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. focus on equity. includes evaluation."
P1492,National Early Childhood Education Reform 94,Higher Education,Karnataka,2018,Urban Students,Proposed,2.06,"Ministry of Education, Local NGOs",0.945,This policy aims to improve early childhood development in Higher Education by providing public-private partnerships across Karnataka. It focuses on STEM education.,Increase early childhood development score by 13% within 3 years and reduce disparities between rural and urban areas.,This policy aims to improve early childhood development in Higher Education by providing public-private partnerships across Karnataka. It focuses on STEM education. Goals: Increase early childhood development score by 13% within 3 years and reduce disparities between rural and urban areas. Timeline set. Stakeholder consultations planned.,"p1492 national early childhood education reform 94 higher education karnataka urban students proposed ministry of education, local ngos this policy aims to improve early childhood development in higher education by providing public-private partnerships across karnataka. it focuses on stem education. increase early childhood development score by 13% within 3 years and reduce disparities between rural and urban areas. this policy aims to improve early childhood development in higher education by providing public-private partnerships across karnataka. it focuses on stem education. goals: increase early childhood development score by 13% within 3 years and reduce disparities between rural and urban areas. timeline set. stakeholder consultations planned."
P1281,District Vocational Education Reform 26,Vocational,Uttar Pradesh,2016,Urban Students,Pilot,4.51,"State Education Department, Private Partners",0.292,A nationwide/state-level initiative to strengthen early childhood development through curriculum reform. Targets Urban Students and aims to reduce dropout rates.,Increase early childhood development score by 34% within 2 years and reduce disparities between rural and urban areas.,A nationwide/state-level initiative to strengthen early childhood development through curriculum reform. Targets Urban Students and aims to reduce dropout rates. Goals: Increase early childhood development score by 34% within 2 years and reduce disparities between rural and urban areas. Budget allocations defined. Includes evaluation.,"p1281 district vocational education reform 26 vocational uttar pradesh urban students pilot state education department, private partners a nationwide/state-level initiative to strengthen early childhood development through curriculum reform. targets urban students and aims to reduce dropout rates. increase early childhood development score by 34% within 2 years and reduce disparities between rural and urban areas. a nationwide/state-level initiative to strengthen early childhood development through curriculum reform. targets urban students and aims to reduce dropout rates. goals: increase early childhood development score by 34% within 2 years and reduce disparities between rural and urban areas. budget allocations defined. includes evaluation."
P1357,National Primary Education Reform 98,Higher Education,Kerala,2018,Students,Under Review,8.51,"Central Government, Donors",0.961,"Policy to enhance learning outcomes and governance using digital device distribution. Includes capacity-building, monitoring and community engagement.","Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","Policy to enhance learning outcomes and governance using digital device distribution. Includes capacity-building, monitoring and community engagement. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Timeline set. Includes evaluation.","p1357 national primary education reform 98 higher education kerala students under review central government, donors policy to enhance learning outcomes and governance using digital device distribution. includes capacity-building, monitoring and community engagement. introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. policy to enhance learning outcomes and governance using digital device distribution. includes capacity-building, monitoring and community engagement. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. timeline set. includes evaluation."
P1077,District Secondary Education Reform 16,Secondary,Tamil Nadu,2018,All,Pilot,2.12,"EdTech Companies, Universities",0.428,A nationwide/state-level initiative to strengthen early childhood development through teacher training programs. Targets All and aims to boost employability.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen early childhood development through teacher training programs. Targets All and aims to boost employability. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Focus on equity. Includes evaluation.","p1077 district secondary education reform 16 secondary tamil nadu all pilot edtech companies, universities a nationwide/state-level initiative to strengthen early childhood development through teacher training programs. targets all and aims to boost employability. introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. a nationwide/state-level initiative to strengthen early childhood development through teacher training programs. targets all and aims to boost employability. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. focus on equity. includes evaluation."
P1462,District Primary Education Reform 92,Higher Education,Uttar Pradesh,2022,Women,Under Review,13.42,"Central Government, Donors",0.352,"Policy to enhance infrastructure and community participation using scholarship schemes. Includes capacity-building, monitoring and community engagement.","Train 4645 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","Policy to enhance infrastructure and community participation using scholarship schemes. Includes capacity-building, monitoring and community engagement. Goals: Train 4645 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. Budget allocations defined. Budget allocations defined.","p1462 district primary education reform 92 higher education uttar pradesh women under review central government, donors policy to enhance infrastructure and community participation using scholarship schemes. includes capacity-building, monitoring and community engagement. train 4645 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. policy to enhance infrastructure and community participation using scholarship schemes. includes capacity-building, monitoring and community engagement. goals: train 4645 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. budget allocations defined. budget allocations defined."
P1498,National Secondary Education Reform 49,Secondary,West Bengal,2023,Students,Under Review,2.94,"Teachers' Unions, Community Leaders",0.934,This policy aims to improve early childhood development in Secondary by providing digital device distribution across West Bengal. It focuses on rural accessibility.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","This policy aims to improve early childhood development in Secondary by providing digital device distribution across West Bengal. It focuses on rural accessibility. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Timeline set. Budget allocations defined.","p1498 national secondary education reform 49 secondary west bengal students under review teachers' unions, community leaders this policy aims to improve early childhood development in secondary by providing digital device distribution across west bengal. it focuses on rural accessibility. introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. this policy aims to improve early childhood development in secondary by providing digital device distribution across west bengal. it focuses on rural accessibility. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. timeline set. budget allocations defined."
P1212,State Higher Education Education Reform 96,Early Childhood,Rajasthan,2022,Urban Students,Implemented,17.81,"State Education Department, Private Partners",0.748,This policy aims to improve vocational skills in Early Childhood by providing digital device distribution across Rajasthan. It focuses on literacy and numeracy.,"Train 1775 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","This policy aims to improve vocational skills in Early Childhood by providing digital device distribution across Rajasthan. It focuses on literacy and numeracy. Goals: Train 1775 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. Stakeholder consultations planned. Focus on equity.","p1212 state higher education education reform 96 early childhood rajasthan urban students implemented state education department, private partners this policy aims to improve vocational skills in early childhood by providing digital device distribution across rajasthan. it focuses on literacy and numeracy. train 1775 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. this policy aims to improve vocational skills in early childhood by providing digital device distribution across rajasthan. it focuses on literacy and numeracy. goals: train 1775 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. stakeholder consultations planned. focus on equity."
P1102,National Secondary Education Reform 95,Primary,Gujarat,2018,Disadvantaged Groups,Implemented,0.47,"EdTech Companies, Universities",0.386,A nationwide/state-level initiative to strengthen teacher quality through curriculum reform. Targets Disadvantaged Groups and aims to boost employability.,Increase teacher quality score by 28% within 5 years and reduce disparities between rural and urban areas.,A nationwide/state-level initiative to strengthen teacher quality through curriculum reform. Targets Disadvantaged Groups and aims to boost employability. Goals: Increase teacher quality score by 28% within 5 years and reduce disparities between rural and urban areas. Timeline set. Budget allocations defined.,"p1102 national secondary education reform 95 primary gujarat disadvantaged groups implemented edtech companies, universities a nationwide/state-level initiative to strengthen teacher quality through curriculum reform. targets disadvantaged groups and aims to boost employability. increase teacher quality score by 28% within 5 years and reduce disparities between rural and urban areas. a nationwide/state-level initiative to strengthen teacher quality through curriculum reform. targets disadvantaged groups and aims to boost employability. goals: increase teacher quality score by 28% within 5 years and reduce disparities between rural and urban areas. timeline set. budget allocations defined."
P1335,District Vocational Education Reform 54,Vocational,Punjab,2024,Disadvantaged Groups,Under Review,2.69,"Central Government, Donors",0.557,"Policy to enhance vocational skills and safety standards using scholarship schemes. Includes capacity-building, monitoring and community engagement.","Train 1949 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","Policy to enhance vocational skills and safety standards using scholarship schemes. Includes capacity-building, monitoring and community engagement. Goals: Train 1949 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. Stakeholder consultations planned. Focus on equity.","p1335 district vocational education reform 54 vocational punjab disadvantaged groups under review central government, donors policy to enhance vocational skills and safety standards using scholarship schemes. includes capacity-building, monitoring and community engagement. train 1949 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. policy to enhance vocational skills and safety standards using scholarship schemes. includes capacity-building, monitoring and community engagement. goals: train 1949 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. stakeholder consultations planned. focus on equity."
